BO,Open,High,Low,Close,Volume
1,323.029999,325.119995,322.660004,323.5,84062500
0,325.059998,327.850006,323.600006,326.890015,63834000
1,328.380005,328.630005,326.399994,326.619995,53888900
1,324.359985,327.910004,323.540009,327.679993,75491800
0,327,327.170013,320.730011,321.730011,113845600
0,323.350006,326.160004,323.220001,324.119995,69242300
1,328.070007,330.01001,327.720001,329.059998,62573200
1,332.269989,333.089996,330.670013,332.859985,65951100
1,333.910004,334.190002,332.799988,333.980011,50359700
0,332.820007,333.98999,331.600006,332.200012,64139400
1,331.230011,334.75,331.190002,334.679993,42070000
0,336.160004,337.019989,334.679993,335.26001,54864500
1,336.829987,337.649994,336.429993,337.420013,43992700
0,335.859985,338.119995,335.559998,337.059998,54501900
0,337.51001,337.730011,336.200012,337.600006,64582200
0,336.51001,337.670013,335.209991,336.730011,57226200
0,337.790009,339.079987,337.480011,338.339996,48814700
0,337.73999,338.640015,333.679993,336.950012,74163400
0,335.470001,335.809998,332.579987,333.480011,113788200
0,323.140015,333.559998,321.23999,322.420013,161088400
0,323.940002,324.609985,311.690002,312.649994,218913200
1,314.179993,318.109985,310.700012,311.5,194773800
0,305.459991,311.559998,297.51001,297.51001,284353500
0,288.700012,297.890015,285.540009,296.26001,385764000
1,298.209991,309.160004,294.459991,309.089996,238703600
0,309.5,313.839996,297.570007,300.23999,300139100
1,306.119995,313.100006,303.329987,312.859985,176613400
0,304.980011,308.470001,300.01001,302.459991,186366800
1,293.149994,298.779999,290.230011,297.459991,228667200
0,275.299988,284.190002,273.450012,274.230011,309417300
1,284.640015,288.519989,273.5,288.420013,276444100
0,280.700012,281.940002,270.880005,274.359985,255316300
0,256,266.660004,247.679993,248.110001,392220700
1,263.089996,271.480011,248.520004,269.320007,329566100
0,241.179993,256.899994,237.360001,239.850006,297240000
0,245.039993,256.170013,237.070007,252.800003,262070500
0,236.25,248.369995,228.020004,240,327597100
0,239.25,247.380005,232.220001,240.509995,289322000
0,242.529999,244.470001,228.5,228.800003,347158800
1,228.190002,229.679993,218.259995,222.949997,326025200
1,234.419998,244.100006,233.800003,243.149994,233831700
